This River Awakens,1998,1,128000
Gardens of the Moon,1999,1,209000
Deadhouse Gates,2000,1,272000
Memories of Ice,2001,1,358000
Blood Follows,2002,1,30000
House of Chains,2002,7,306000
Midnight Tides,2004,1,270000
The Healthy Dead,2004,3,25000
The Devil Delivered,2004,5,30000
Fishin' with Grandma Matchie,2004,8,30000
When She's Gone,2004,11,30000
The Bonehunters,2006,1,365000
Reaper's Gale,2007,1,386000
The Lees of Laughter's End,2007,7,25000
Revolvo,2008,1,30000
Toll the Hounds,2008,7,392000
Crack'd Pot Trail,2009,1,30000
Dust of Dreams,2009,7,382000
The Crippled God,2011,1,385000
The Wurms of Blearmouth,2012,1,30000
The Devil Delivered and Other Tales,2012,5,30000
Forge of Darkness,2012,9,292000
Willful Child,2014,1,100000
Willful Child: Wrath of Betty,2016,1,100000
Fall of Light,2016,5,363000
The Fiends of Nightmaria,2016,9,30000
Rejoice A Knife to the Heart,2018,1,130000
Willful Child: The Search for Spark,2018,7,100000
Upon a Dark of Evil Overlords,2020,1,30000
The God is Not Willing,2021,1,191000
