Conan the Invincible,1982,1,86112
Conan the Defender,1982,7,71000
Conan the Unconquered,1983,1,80000
Conan the Triumphant,1983,7,80000
Conan the Magnificent,1984,1,71500
Conan the Destroyer,1984,5,72000
Conan the Victorious,1984,9,72000
The Eye of the World,1990,1,305902
The Great Hunt,1990,11,267078
The Dragon Reborn,1991,10,251392
The Shadow Rising,1992,9,393823
The Fires of Heaven,1993,10,354109
Lord of Chaos,1994,10,389823
A Crown of Swords,1996,5,295028
The Path of Daggers,1998,10,226687
Winter's Heart,2000,11,238789
Crossroads of Twilight,2003,1,271632
New Spring,2004,1,122150
Knife of Dreams,2005,10,315163
