A Song for Lya,1974,1,57000,0
Dying of the Light,1977,1,100000,0
Nightflyers,1980,1,99900,0
Windhaven,1982,1,116000,0
Fevre Dream,1982,7,117740,0
The Armageddon Rag, 1983,1,96000,0
Tuf Voyaging,1986,1,112000,0
A Game of Thrones,1996,8,292727,0
A Clash of Kings,1999,2,318903,0
A Storm of Swords,2000,11,414604,0
The Hedge Knight,2005,5,32013,0
A Feast for Crows,2005,11,295032,0
The Sworn Sword,2008,6,36851,0
The Mystery Knight,2010,1,37120,0
A Dance with Dragons,2011,7,414788,0
The Princess and the Queen,2013,12,8000,0
Fire & Blood,2018,10,180000,0
 ,2020,12,0,0
