The Dark Side of the Sun,1976,1,55500
Strata,1981,1,79230
The Colour of Magic,1983,1,66014
The Light Fantastic,1986,1,64371
Equal Rites,1987,1,66260
Mort,1987,7,73018
Sourcery,1988,1,79222
Wyrd Sisters,1988,7,85583
Pyramids,1989,1,87931
Guards! Guards!,1989,7,98530
Eric,1990,1,34924
Moving Pictures,1990,7,97288
Reaper Man,1991,1,78933
Witches Abroad,1991,7,81614
Small Gods,1992,1,91543
Lords and Ladies,1992,7,89017
Men at Arms,1993,1,94726
Soul Music,1994,1,96139
Interesting Times,1994,7,93473
Maskerade,1995,1,85391
Feet of Clay,1996,1,94164
Hogfather,1996,7,95180
Jingo,1997,1,105197
The Last Continent,1998,1,94902
Carpe Jugulum,1998,7,98407
The Fifth Elephant,1999,1,107406
The Science of Discworld,1999,7,120060
The Truth,2000,1,105088
Thief of Time,2001,1,102477
The Last Hero,2001,5,127859
The Amazing Maurice and His Educated Rodents,2001,9,63779
Night Watch,2002,1,113096
The Globe: The Science of Discworld II,2002,7,111070
The Wee Free Men,2003,1,72878
Monstrous Regiment,2003,7,114864
A Hat Full of Sky,2004,1,79291
Going Postal,2004,7,116380
Thud!,2005,1,109085
Darwin's Watch: The Science of Discworld III,2005,7,99615
Wintersmith,2006,1,87523
Making Money,2007,1,94830
Unseen Academicals,2009,1,134939
I Shall Wear Midnight,2010,1,106407
Snuff,2011,1,129632
A Blink of the Screen,2012,1,88400
Raising Steam,2013,1,107155
The Science of Discworld IV: Judgement Day,2013,7,88000
A Slip of the Keyboard,2014,1,87570
The Shepherd's Crown,2015,1,72000
